Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?
2013-03-28 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,11000,0.0,0.0,0.0,True
2013-04-01 00:00:00-04:00,5.999999865889549,5.999999865889549,5.999999865889549,5.999999865889549,1000,0.0,0.0,0.0,True
2013-04-02 00:00:00-04:00,5.499999970197678,5.499999970197678,5.000000074505806,5.000000074505806,177000,0.0,0.0,0.0,True
2013-04-03 00:00:00-04:00,5.000000074505806,5.499999970197678,5.000000074505806,5.499999970197678,483286,0.0,0.0,0.0,True
2013-04-04 00:00:00-04:00,5.999999865889549,5.999999865889549,5.999999865889549,5.999999865889549,100000,0.0,0.0,0.0,True
2013-04-05 00:00:00-04:00,5.499999970197678,5.999999865889549,5.499999970197678,5.999999865889549,32100,0.0,0.0,0.0,True
2013-04-08 00:00:00-04:00,5.999999865889549,5.999999865889549,5.499999970197678,5.499999970197678,78000,0.0,0.0,0.0,True
2013-04-09 00:00:00-04:00,7.000000029802322,7.000000029802322,5.499999970197678,5.499999970197678,55000,0.0,0.0,0.0,True
2013-04-10 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,15800,0.0,0.0,0.0,True
2013-04-11 00:00:00-04:00,5.499999970197678,5.999999865889549,5.499999970197678,5.999999865889549,29786,0.0,0.0,0.0,True
2013-04-12 00:00:00-04:00,5.999999865889549,5.999999865889549,5.999999865889549,5.999999865889549,0,0.0,0.0,0.0,True
2013-04-15 00:00:00-04:00,5.499999970197678,5.499999970197678,5.000000074505806,5.000000074505806,452000,0.0,0.0,0.0,True
2013-04-16 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,0,0.0,0.0,0.0,True
2013-04-17 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,41270,0.0,0.0,0.0,True
2013-04-18 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,10000,0.0,0.0,0.0,True
2013-04-19 00:00:00-04:00,5.499999970197678,5.499999970197678,5.000000074505806,5.000000074505806,20020,0.0,0.0,0.0,True
2013-04-22 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,1000,0.0,0.0,0.0,True
2013-04-23 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,20000,0.0,0.0,0.0,True
2013-04-24 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,261500,0.0,0.0,0.0,True
2013-04-25 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,0,0.0,0.0,0.0,True
2013-04-26 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,0,0.0,0.0,0.0,True
2013-04-29 00:00:00-04:00,5.000000074505806,5.499999970197678,5.000000074505806,5.499999970197678,19400,0.0,0.0,0.0,True
2013-04-30 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,15660,0.0,0.0,0.0,True
2013-05-01 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,8200,0.0,0.0,0.0,True
2013-05-02 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,89000,0.0,0.0,0.0,True
2013-05-03 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,0,0.0,0.0,0.0,True
2013-05-06 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,0,0.0,0.0,0.0,True
2013-05-07 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,1000,0.0,0.0,0.0,True
2013-05-08 00:00:00-04:00,5.000000074505806,5.000000074505806,4.500000178813934,5.000000074505806,136480,0.0,0.0,0.0,True
2013-05-09 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,26000,0.0,0.0,0.0,True
2013-05-10 00:00:00-04:00,5.000000074505806,5.000000074505806,5.000000074505806,5.000000074505806,0,0.0,0.0,0.0,True
